dept,lab,hood,exclude
chem,gordon,CHEM.NAITO.FHC5.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC6.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC7.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC8.RM118:FLOW STPT,TRUE
chem,gordon,CHEM.NAITO.FHC9.RM118:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC6.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC11.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC14.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC18.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC21.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.MALLIN.FHC22.M202:FLOW STPT,TRUE
chem,jacobsen,CHEM.CONANT.202S.FHC1:FLOW STPT,TRUE
chem,jacobsen,CHEM.CONANT.202S.FHC2:FLOW STPT,TRUE
chem,jacobsen,CHEM.CONANT.202S.FHC3:FLOW STPT,TRUE
chem,jacobsen,CHEM.CONANT.202S.FHC4:FLOW STPT,TRUE
chem,jacobsen,CHEM.CONANT.202S.FHC5:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC1.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC2.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC3.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC4.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC5.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC6.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC7.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC8.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC9.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC10.111:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC1.110:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC2.110:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC3.110:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC4.110:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC5.110:FLOW STPT,TRUE
chem,kahn,CHEM.NAITO.FHC6.110:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311A:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311B:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311C:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311D:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311E:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.311F:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312A:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312B:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312C:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312D:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312E:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.312F:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.315A:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.315B:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.315C:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.315D:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.316A:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.316B:FLOW STPT,TRUE
chem,kishi,CHEM.NAITO.FHC.316D:FLOW STPT,TRUE
chem,lieber,CHEM.CONANT.FHC-A.026:FLOW STPT,TRUE
chem,lieber,CHEM.CONANT.FHC-B.026:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200N.FHC1:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200N.FHC2:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200N.FHC3:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200N.FHC4:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200S.FHC1:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200S.FHC2:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200S.FHC3:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200S.FHC4:FLOW STPT,TRUE
chem,liu,CHEM.CONANT.200S.FHC5:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH01:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH02:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH03:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH04:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH05:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH06:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH07:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH08:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH09:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH10:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH11:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH12:FLOW STPT,TRUE
